"joinID","nature","access","riskPerc","budget","knowledge","OPMpresence","OPMinv"
588,2,0,0.5,43820,0,0,1
589,2,1,0.5,43820,0,0,1
590,2,0,0.5,43820,0,0,1
591,2,0,0,43820,0,0,1
592,2,0,0.5,43820,0,0,1
593,1,0,0,43820,0,0,1
594,1,0,0,43820,0,0,1
595,1,0,0,43820,0,0,1
596,1,0,0,43820,0,0,1
597,1,0,0,43820,0,0,1
598,1,0,0,43820,0,0,1
599,1,0,0,43820,0,0,1
600,1,0,0,43820,0,0,1
601,2,0,0,43820,0,0,1
602,2,0,0,43820,0,0,1
603,3,0,0,43820,0,0,1
604,3,0,0,43820,0,0,1
605,3,0,0,43820,0,0,1
606,3,0,0,43820,0,0,1
607,3,0,0,43820,0,0,1
608,3,0,0,43820,0,0,1
609,3,0,0,43820,0,0,1
610,3,1,0,43820,0,0,1
611,3,1,0,43820,0,0,1
612,3,1,0,43820,1,1,0
613,3,0,0.5,43820,1,1,0
614,3,1,0,43820,1,1,0
615,3,1,0,43820,0,0,1
616,3,1,0,43820,0,0,1
617,3,0,0.5,43820,0,0,1
618,3,0,0,43820,0,0,1
619,3,0,0.8,43820,0,0,1
620,1,0,0.8,43820,0,0,1
621,1,0,0,43820,0,0,1
622,1,0,0.8,43820,0,0,1
623,1,0,0,43820,0,0,1
624,1,0,0,43820,0,0,1
625,1,0,0,43820,0,0,1
626,1,0,0.5,43820,0,0,1
627,2,0,0,43820,0,0,1
628,2,1,0.5,43820,0,0,1
629,2,1,0.5,43820,0,0,1
630,2,1,0.5,43820,0,0,1
631,2,1,0.5,43820,0,0,1
632,1,1,0.5,43820,0,0,1
633,1,1,0.5,43820,0,0,1
634,1,1,0.5,43820,0,0,1
635,1,1,0.5,43820,0,0,1
636,1,1,0.5,43820,0,0,1
637,0,1,0.5,43820,0,0,1
638,0,0,0.5,43820,0,0,1
639,0,0,0.5,43820,0,0,1
640,1,0,0.5,43820,0,0,1
641,1,0,0.5,43820,0,0,1
642,2,0,0,43820,0,0,1
643,2,0,1,43820,0,0,1
644,2,0,0.5,43820,0,0,1
645,2,0,0.5,43820,0,0,1
646,2,0,0.5,43820,0,0,1
647,2,0,0.5,43820,0,0,1
648,2,0,0.5,43820,0,0,1
649,2,0,0.5,43820,0,0,1
650,2,0,0.5,43820,0,0,1
651,2,0,0,43820,0,0,1
652,2,0,0,43820,0,0,1
653,2,0,0,43820,0,0,1
654,2,0,0,43820,0,0,1
655,1,0,0,43820,0,0,1
656,1,0,0.5,43820,0,0,1
657,1,0,0,43820,0,0,1
658,1,0,0.5,43820,0,0,1
659,1,0,0,43820,0,0,1
660,1,0,0,43820,0,0,1
661,1,0,0,43820,0,0,1
662,2,0,0,43820,0,0,1
663,2,0,0,43820,0,0,1
664,2,0,0,43820,0,0,1
665,3,0,0,43820,0,0,1
666,3,0,0,43820,0,0,1
667,3,0,0,43820,0,0,1
668,3,0,0,43820,0,0,1
669,3,0,0,43820,0,0,1
670,3,0,0,43820,0,0,1
671,3,0,0,43820,0,0,1
672,3,1,0,43820,0,0,1
673,3,1,0,43820,0,0,1
674,3,0,0.5,43820,0,0,1
675,3,1,0.5,43820,1,1,0
676,3,0,0.5,43820,1,1,0
677,3,0,0,43820,0,0,1
678,3,1,0,43820,0,0,1
679,3,0,0.5,43820,0,0,1
680,3,0,0.5,43820,0,0,1
681,3,0,0,43820,0,0,1
682,1,0,0.8,43820,0,0,1
683,1,0,0.8,43820,0,0,1
684,1,0,0,43820,0,0,1
685,1,0,0,43820,0,0,1
686,1,0,1,43820,0,0,1
687,1,0,0,43820,0,0,1
688,1,0,0.8,43820,0,0,1
689,1,0,0,43820,0,0,1
690,2,0,0.8,43820,0,0,1
691,2,1,0.5,43820,0,0,1
692,2,1,0.5,43820,0,0,1
693,2,1,0.5,43820,0,0,1
694,2,1,0.5,43820,0,0,1
695,1,1,0.5,43820,0,0,1
696,1,1,0.5,43820,0,0,1
697,1,1,0.5,43820,0,0,1
698,1,1,0.5,43820,0,0,1
699,1,1,0.5,43820,0,0,1
700,0,0,0.5,43820,0,0,1
701,0,0,0.5,43820,0,0,1
702,1,0,0.5,43820,0,0,1
703,1,0,0.5,43820,0,0,1
704,1,0,0.5,43820,0,0,1
705,2,0,0.5,43820,0,0,1
706,2,1,0.8,43820,0,0,1
707,2,0,0.5,43820,0,0,1
708,2,0,0.5,43820,0,0,1
709,2,0,0.5,43820,0,0,1
710,2,0,0.5,43820,0,0,1
711,2,0,0.5,43820,0,0,1
712,2,0,0.5,43820,0,0,1
713,2,0,0,43820,0,0,1
714,2,0,0,43820,0,0,1
715,2,0,0,43820,0,0,1
716,2,0,0,43820,0,0,1
717,1,0,0,43820,0,0,1
718,1,0,0.8,43820,0,0,1
719,1,0,0,43820,0,0,1
720,1,0,0.8,43820,0,0,1
721,1,0,0,43820,0,0,1
722,1,0,0,43820,0,0,1
723,1,0,0,43820,0,0,1
724,1,0,0,43820,0,0,1
725,2,0,0,43820,0,0,1
726,2,0,0,43820,0,0,1
727,3,0,0.8,43820,0,0,1
728,3,0,0,43820,0,0,1
729,3,0,0,43820,0,0,1
730,3,0,0,43820,0,0,1
731,3,0,0,43820,0,0,1
732,3,0,0,43820,0,0,1
733,3,0,0,43820,0,0,1
734,3,1,0,43820,0,0,1
735,3,1,0,43820,0,0,1
736,3,0,0.5,43820,1,1,0
737,3,0,0.5,43820,1,1,0
738,3,1,0.5,43820,0,0,1
739,3,1,0.5,43820,0,0,1
740,3,1,0.5,43820,0,0,1
741,3,0,0,43820,1,1,0
742,3,0,0.5,43820,1,1,0
743,3,0,0.8,43820,0,0,1
